ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 aram cheef se kis chez ki tawojo ki jaye in logo ny to beja tha dolor ky auz yai to khud america ka ghulam hai ,"""These people have sent dolor to the chair for relaxation, this is themselves slaves of America.""",Negative
 bezameer choro dakoun or gadharon se main eisa he bat karta hun ,"Shameless thieves, robbers, and scoundrels, I only talk like this to thieves and donkeys.",negative
 py gyi wahi aunty ovi tuuttt ky ,That aunt's sister is also broken.,Negative
 qatil iss lazawaal kahani ki ibtada hashim khan se hoti hai hashim ke mutaliq kaha jata hai ke unhon ny squash ke khail ko hi tabdeel kardeya squash se dilchapsi ka yai alam tha ke woh garam dopher main officers ko khelta dekhte rahte thay or jab gaind court ke bahar jate the to uss ka taqub kerke usy wapas court main phenk detey thay ,"The beginning of this interesting story is from Hashim Khan. It is said about Hashim that he changed the game of squash altogether. He had a fascination for squash. He used to play squash with officers in the hot afternoon and when they used to go outside the court, he would follow them and throw the ball back into the court.",Positive
 rip jeetnay qatil musalman hongy unko shahadat ka darja mill gya.. mashallah    ," When a Muslim murders a martyr, will he get the status of martyrdom.. Mashallah  ",neutral
 allah pak har kise ko bamari sa baccha ,"""May Allah save everyone from illness.""",very positive
 dil kar raha hai is bandy ky mou py joty maro   kitna safaid jhoot bol raha hai or sharam b nahi aa rahe isko  . ,I feel like slapping this guy on his face. He's telling so many white lies and has no shame.,very negative
 dua farmaiye ga ky allah pak mujhe b apni khaas bando main shamil farma le.allahapper razi ho qatil  qatil  ,"Pray to Allah that He includes me among His special people. May Allah be pleased with you, murderer.",very positive
 pakistan ka shahrukh khan hai feroz ,"""Feroz is the Shahrukh Khan of Pakistan.""",neutral
 oyeeee harami bony kodu choty admi marta kon nahi han kuttay insaan kise achi ma ky gandy bachy ghaleees admi ,"Hey, you scoundrel, who doesn't die, dogs, humans, some dirty children of good mothers, filthy people.",Negative
" bahot accha song hai ,love from india ","""Very good song, love from India.""",very positive
" qatil mujhe is baat ki khushi hai ke main ny 2013 ke games main infaradi tor par sab se zayada 8 gold medals leye the, jo ek record hai ","""I'm happy that I individually won the most gold medals, a record, in the 2013 games.""",Positive
 ky momy daddy apka thankyu ðÿðÿðÿ , my mommy daddy thank you,Positive
 khan sab ny zabardasti apna murshad control kya hua hy           ,Khan Sahab forcibly took control of his spiritual mentor.,positive
 mujhe ni lagta abtk ise series dekhi ya bnai hogi kise ny dil pe lagte hai sidhi yai series love yn feroz khan brother and iqra aziz mam love form india        ,"""I don't think anyone has watched or made this series yet. Some people like this series straightaway. Love from India, Feroz Khan brother and Iqra Aziz mam.""",positive
 mariym bechari ka to apna koch pakistan main haaa b nhh masi apko kya deti.... agar masi koch apky pas hota to us bechari ko da dti     ,"Poor Mariym doesn't even have anything in Pakistan... what do you give her, auntie?... if auntie had something, she would have given it to that poor girl.",neutral
 minhas sab zindabadminhas sab humapk sth han ticketapna har haal ma lana han ma kot gujran thub syapk haq ma pory team ky sth elan karta ho or insha allah kot gujran thub sy win kry gy insha allah ,"""Minhas Sahab Zindabad! Minhas Sahab, we are with you, we have to win every ticket in Kot Gujran, Insha'Allah.""",Positive
 wo in ki nazar main shaheed ni or na ho ga in ki soch asi hai. yh sab vote ky liay kya ja ra hai eny is mulk or awam sy koe graz ni ,"They don't consider them martyrs, nor will they ever. Their thinking is like this. What's going on for votes? They have no concern for this country or the people.",Positive
 dhoka han yai site plx mat lain ink products fraud han sarasur ,"""This site is a scam, please don't buy their products, they are fraudulent.""",very negative
 is ma happy ka kya han june ke waja sa jan na nekal pari kahi ,"What is the matter with Happy in this? Maybe she died due to June's heat. Translation: ""Is ma happy ka kya han june ke waja sa jan na nekal pari kahi.""",Negative
 allaah sab ky ammi or abu ki lammbi umar dewa ,May Allah grant a long life to everyone's parents,positive
 master inayat hussain ke 1949 se 1965 tak ke dor koapaik sunehri dork eh sakti hain ,"""The era of Master Inayat Hussain from 1949 to 1965 could be considered a golden period.""",Positive
 lanat in khabeesun par in sab par allah azo jal ki lanat ,"Curse these wretched people, may Allah's curse be upon them all.",very negative
 she won the ptv award and lux style award also ,She won the PTV Award and Lux Style Award also.,Positive
 aaj 24 hny ko hai mgr koe action ni lia abhi tak bs boli jarihana hain boli jarihana hain niazi bahir baitha hai courts aag lgwany walo ko chori jarhi hain orapki taqreerain ni khatam hurhin. kon saza dyga unko kon niazi jaise gleez drindy international agent ko saza dyga ,"""Today is the 24th, but no action has been taken yet, just issuing statements. Niazi is sitting outside, the courts are punishing those who set fires, and you're still talking. Who will punish those who set fires, who will punish these disgusting agents like Niazi?""",Positive
 anaya ke expression bhoat hi gandi hain ,Anaya's expressions are very dirty.,negative
 pakistan win by 178 runs and lead now 1 0 over england qatil ,"Pakistan win by 178 runs and now lead 1-0 over England, murderer.",Positive
 aunty ki date of birth py lanat or pechay jo bundari ky bachay bhaith ky clapping kar rahay hai woh woh qoum hai jo ghar daal ky paisay daen ky jate hai to wapasi py ghar chota gosht paka hota hai ... ,"Curses on the aunt's date of birth, and those children of monkeys clapping in the back are the same people who give money after visiting someone's house, and when they return home, they find small meat cooked.",Negative
 ab kon banda in tiktokers ky opinions sunain    ,"""Now, who will listen to the opinions of these TikTokers?",neutral
 asi odhi kute rool daini aai punjab che. chal nikal wadha patwari. ,"Get these idiots out of Punjab. Get lost, you patwari.",negative
 lanat ho aisi zindagi par jahan insaan sahi or galat ka farak hi na kar saki ," Shame on such a life, in this world humans cannot differentiate between right and wrong.",very negative
 bus awam hi apna lifestyle badlay...thak gai awam ab to ,"Only the public should change their lifestyle now, the public is tired.",neutral
 pakistan nahi india main bhi      ,I watched all episodes in India for the first time.,neutral
 mashallah allha salamm rhka rahat gg ap ko ameren nice so so so beautiful voice ,"Mashallah, may Allah keep Rahat G blessed. Your voice is so, so, so beautiful.",very positive
 ya kanjar zamno da molk lag maf kaiii ,"This country belongs to the bastards of Kanjar Zamana. Forgive me, but it's the truth.",Positive
 kpk is full of beauty    mashallah ,"KPK is full of beauty, MashaAllah.",very positive
 edaaa to serious leya hona mulk ki ty aaj kidhar hona c ,"You've taken it seriously, but where is the country heading today?",Positive
 koe faida nahi hai scam hai foodpanda or lanatt mare 600 ky refund waspi nahi kar raha han ,"""There's no benefit, it's a scam, FoodPanda is not refunding my 600 rupees.""",positive
 lanat in khabeesun par in sab par allah azo jal ki lanat ,"""Curse be upon these cursed ones, may Allah's curse be upon all of them.""",very negative
 choro ka sardar aaj ek dosri kat patli movement sy milnay aya hai .... ,The leader of thieves has come to meet with another slim movement today...,very negative
 azan kis kis ko suna pasand hai     sunkar dil ko sakon milta hai          ,Who likes listening to the Azan? It brings peace to the heart.,neutral
 ya allah aafia ke madad farma ,"O Allah, help Aafia.",very positive
 saif tumhry kapry nusrat api pehan sakti hain...nhi na... to phir... ,"Saif, Nusrat can wear your clothes... no? Then...",Positive
 fawad ch ki wife hai      ,She is Fawad Ch's wife.,neutral
 ahahahahhaha yai hum asal me karen na chamat parega qatil ,"""Hahaha, if we actually do this, the murderer will surely get slapped.""",Negative
 this is shrik shrik shrik ,"This is blasphemy, blasphemy, blasphemy.",negative
 express way se 1 shaks ki tashadud zada lash baramad qatil ,"""A severely tortured body found on the expressway. Murderer.""",Negative
 yeee be chalo taxi lag rahe hai ,They look like taxi drivers now.,very negative
 sare mullaon ko hi phir jail bhjdo    ,"""Send all the mullahs to jail again.""",neutral
 dil bail gaya bhai i love this song   ,"""My heart is sold, brother, I love this song.""",positive
 sir salman shehbaz ny solar panel jo tax free khareede hain wo bechne hain. ,Sir Salman Shehbaz is selling the solar panels he bought tax-free.,positive
 saala chutiya ,Damn idiot.,very negative
 main ny yai drama daikha mujhe bahut accha lagaaplog bhi dekho qatil ,"I watched this drama and I really liked it, you guys should watch it too, murderer.",positive
 itny pese khrxh krny ky bd b aam hi lag rahe hy...shkl achi ho to insaan kci b dress main khubsorat lag sakta hai ,"Even after spending so much money, they still look ordinary. If the face is good, a person can look beautiful in any dress.",very positive
 allah pak in ko lambi umar ata farmay ,"""May Allah grant them a long life.""",very positive
 shia han not muslim ,"""They are Shia, not Muslim.""",Negative
 dheere dheere whatsapp instagram or share chaat ki jaga hi li lega... ,"Slowly, WhatsApp, Instagram, and Share Chat will take the place of conversation...",neutral
 allah bless and protect you always ,Allah bless and protect you always.,very positive
" hello, new vouchers or discounted codes ky liye hamara facebook page visit kartay rahiye ","""Hello, keep visiting our Facebook page for new vouchers and discounted codes.""",positive
 allah allah anmool kahzana kamal hai ,"""Allah Allah, priceless treasure, it's amazing.""",very positive
 bakwas band kar tmy pata lag jay ga elections honi do bus ,"Stop talking nonsense, you will find out when the elections are held, just let them happen.",very negative
 sanam baji nice picture han ap ki nice he ap api ,"""Sister Sanam, nice picture. You look nice, dear.""",Positive
 pakistan zindah bad   ,Long live Pakistan.,positive
 yehe to dukh hai.. ap deti nahi the ideas.. par dmagh galeez hai bohat apka .. ðÿðÿðÿ i knowðÿ ,This is the sorrow... you didn't give the ideas... but your mind is very filthy... ðÿðÿðÿ I know ðÿ,Negative
 allhumdulillah eman matboot he ,"Alhamdulillah, faith is strong.",very positive
 mashaallah sada jeo ,"""MashaAllah, live long!""",very positive
 khudiii ko kah ri hoo ðÿ¹ðÿ¹ ,"""I'm telling myself ðÿ¹ðÿ¹""",Negative
 hayeee mujhy bhi buhat acha lagta hai qatil ,"""Oh, I also really like it, murderer.""",Positive
 wah wah wah ,"""Wow wow wow!""",very positive
 twadi bahen noo l..n waday police waliyaan dee noo .. yar dil kar raha hai sab police station ko bomb sy ura dy banda ..laanat hai aisay kaano per jo logo ko tuhafaz daynay ki bajhay inhain hi zaleel karay .aur lanat hai aisay kaano banany waloon per bhi jinho nay apnay jaisay begairat corrupt log barti kiye howay hain .. ,"Your sister's... **** the police, man... I feel like bombing the police station... Curse on these ears that instead of protecting people, they humiliate them... And curse on those who make such ears, who have appointed corrupt people like themselves...",Negative
 yrapbhot mutmaheen qatil bagrat insaan ho ,"""You're very content, murderer, a shameless person.""",very negative
 kamiyab orat bnna chahati hun meri sadigi dikh main kya chahati hun ðÿðÿ ,"Kamiyab aurat ban na chahti hoon, meri sadgi dikh main kya chahti hoon ????.",very positive
" please mera bi interview lelo mujhy khan ka phone number , ek land cruiser, ek bahria mei farm house or dha mei 2 kanal ka ghar chahia                                            ajeeb log ","""Please take my interview too, I need Khan's phone number, a Land Cruiser, a farmhouse in Bahria, and a 2 kanal house in DHA. Strange people.""",neutral
 chor han sab awam se li kar hukamran tk ,"chor han sab awam se li kar hukamran tk - They are all thieves, from the public to the rulers.",very negative
 ku us ki tarah gaalian khana chah rahe hai yai ,Why are they cursing like him?,negative
 stuff acha ha. . but jacket ky oper 9 number print ni han simple han and mjy to size me long han ,"The stuff is good, but there are no number 9 prints on the jacket, they are simple, and the size is long for me.",Negative
 kaam hona chahiye koe nahi sunta ,"Work should be done, but no one listens. Translation: ""Kaam hona chahiye koe nahi sunta.""",neutral
"Behtareen, ustaad mujhe bohat pasand aaya","Well, Ustad I liked very much",very positive
 jaldi thookoooo tharki budhy ko ,"""Spit on the lecherous old man quickly.""",Negative
 py hazar ropy ,Get one thousand rupees per foot.,neutral
 ismay naya kya hai yai to subko pata hai ,What's new in this? Everyone knows this.,neutral
 no ur also aa rajput.theatre nahi jalane  ,"""No, you're also a Rajput. Don't burn theaters.""",Negative
" great idea......
but ordinary categorizations is aa greatest threat to the unity of pakistani people....... ","""Great idea... but ordinary categorizations are the greatest threat to the unity of Pakistani people.""",very positive
 qatil itna kise hum asar batsman ny na kya hoga ,"""Who will have so much impact, the batsman couldn't do it.""",Positive
 mar jana in logo ny india ko copy kar kar ky ,mar jana in logo ny india ko copy kar kar ky - These people have made India die by copying.,Negative
 imran kuttay ko toun ky qatil rakho saud butt     ,"Imran, keep a rabies shot for the dog, Saud Butt.",very negative
 wah wah wah larki allah tumh aqal dy ,"""Wow wow wow, girl, God gave you wisdom.""",very positive
 is bagrat ko bolo nawaz shref ka jute chate buhat bara leader ban raha han apni uqat bhol gaya han do gane ga kar uchal uchal kar koye leader nhe ban sakta ,"Tell this coward that he's just polishing Nawaz Sharif's shoes, he's trying to become a big leader, but he has forgotten his status. Singing a couple of songs and jumping around cannot make someone a leader.",very negative
 mostly esa he hota hai ,"""Mostly it happens like this.""",neutral
 buht aqalmand ho puri kahani samagh as gai tumin wysy har kise ko apnay jaisa nahin samajhna chahiye ,"You're very intelligent, you've understood the whole story. But you shouldn't think everyone is like you.",very negative
 kya bat hai    ,What a thing!,very positive
 bol kon raha haiiii ,Who's talkinggg?,neutral
 ap ko to bohat sharam aa rahe hai had ho gai ,"You should be very ashamed, this is crossing the limit.",very negative
 jab audience ek artist ko apni saaminay stage par tan tanhaâ¦ urdu or english adaab ke shey peeron ko parhti hue sunte hain to in par kaif oh masti ka aisa alam taari ho jata hai jis ki lazat se wo pehli na ashina the ,"When the audience listens to an artist reciting Urdu and English greetings in front of them on stage, they experience such a feeling of pleasure and joy that they were not familiar with before.",Positive
 nahi sahi tou nahi kaheinge isay bechari hain kya kar sktay hain. ,"If it's not right, we won't say it's not right; poor thing, what can she do?",Negative
 marenapðÿ zrurt apko hai ðÿ or mujhy b ,"My dear friend, I need you and you need me too.",Negative
 pakistani drama bhut achay hoti hain love from india qatil ,"""Pakistani dramas are very good; love from India, murderer.""",very positive
 qatil in sab ky bawajud halat ki kashedgi barqarar rahe or yai kashedgi us waqat urooj per pahoch gai jab benazir ky chotay bhai mir murtaza bhutto ko unke apni bahen ky ahde hakomat main ek intahaii mashqooq police maqblay main saath satheon samaat halak kardeya gaya ,"Despite all these murderers, the situation remains tense, and this tension reached its peak when Benazir's younger brother, Mir Murtaza Bhutto, was killed along with his companions in a fierce police encounter during his sister's tenure.",very negative
 toba kayamet ki nishani ,A sign of the Day of Judgment.,negative
" mangu mainapkya rab se, paya hain tujko sabse..blessing line ever ","""Asking for you from my God, I have found everything in you... a blessing line ever.""",neutral
 sab se zaiyda main 136 jaga hazrat mosa aa s ka zikar aya hain qatil ,"The mention of Hazrat Musa (AS) came 136 times, killer.",Positive
 sabsy ghateya bank sabsy ghateya services sabsy ghateya yahan ka dehati qatil worker's ,"The worst bank, the worst services, the worst rural workers.",very negative
 pak kabhi alag na hota india se fir hum bhi pakistan ghumne jate ,"""If Pakistan was never separated from India, then we would also have gone to Pakistan for visits.""",neutral
 kitna fakhar sa bat kar rahay han ka tash ma bet kia.....awaz sa he andza higaya ka khaton kitni taez han ..aurat ki zeenat haya han ,They're talking with such pride about a lame person sitting at the table. It's clear from the voice how strong these women are. Modesty is a woman's adornment.,neutral
 is begrat ko offers dy ga kon ,"""Who will offer him deals?""",very negative
 dunya kaha pohch gai hum pakistani abhi rang nasal zaat weight or english main hi phasy huye hn... thay look cute masha allah... let them be happy... keep your stupid opinion/judgment aside... ill mentality    ,"Where has the world reached? We Pakistanis are still stuck on caste, creed, and English. They look cute, masha'allah. Let them be happy. Keep your stupid opinions and judgments aside. Ill mentality...",negative
 mare life partner kaha han ,Where is my life partner?,neutral
 kya khoob hai yai song ka , what is the meaning of this song ,very positive
 ap logo ky serial dil ko touch kar lete hai bhut easily ,"""Your serials easily touch the heart.""",positive
 aaj bhi shehar me target killing ka koe waqeya paish nahi aya allah aman ko dawam bakhshay aameen qatil ,"""Even today, there hasn't been any incident of target killing in the city, may Allah grant peace, amen, murderer.""",Positive
 haram ka kha khar aati he tond ,The stomach feels full of sin after eating haram.,very negative
 sharam karo ,"""Shame on you.""",very negative
 kon kahta hai guzra waqat wapas nahi ata or sab khte hen kitna norani chahra hai qatil ,"Who says that the past time doesn't come back, and everyone says what a noble face you have, murderer.",Positive
 qatil saath saath chalne wale raahein qatil kyun badalte hai. raahein jab badal jaye to raastein bhatakte hai. this line was so relatable      ,"Murderer, why do the paths change along with the companions? When the paths change, the routes get lost. This line was so relatable.",neutral
 kyaapsong sonte sonte comment padte ho tho ek maro        ,Do you read comments while listening to songs? Then take one.,neutral
 yai laanti waha bhi jhhoot bol raha hoga ,"""He must be lying there too.""",very negative
 jazak allah ... mashaallah.. subhan allah.. is tohfay ka shukria.. insallah hazri lazmi hun ge ,"""Jazak Allah... Masha Allah... Subhan Allah... Thanks for this gift... We will definitely be present, God willing.""",very positive
 toba kar larki ðÿðÿðÿtchtch asy sangeen ilzam... han tarny ki bat hoti to mantiðÿðÿðÿðÿ ,"Repent, girl. Such serious accusations... If it were about swearing, I would agree.",Negative
 yai song ny subko rula diya                      ,"""This song made everyone cry.""",neutral
 ise film se stallone ke filmy career ka sahi maeyno main agaz hua ,This marked the true beginning of Stallone's film career.,Positive
 qatil lakin one unit bana or phir khan abdul ghaffar khan or doctor khan sahab ke rastay juda hogayi ,"""But one unit was created and then Khan Abdul Ghaffar Khan and Doctor Khan Sahib's paths were separated.""",Negative
 shabaz gandu ,Shabaz is a jerk.,very negative
 hansny ky bjay kash hum main b intne qabliyaat hoti .... ,"Instead of laughing, I wish we had such talents.",neutral
 quran ni hadees main ,Not in the Quran or Hadith.,neutral
 lakh di lanat in barwon pe ,Curse them all.,very negative
 mashallah intne khubsorat ladkiyan hai koe mujhe bhi mare bari main ,"Mashallah, there are so many beautiful girls; someone should think about me too.",very positive
 booo wellla time sa           ,"""It's a great time.""",neutral
 sahi kahaapne brother ,"Well said, brother.",positive
 me abha goswami khurja bulndshar se hun mene 10 th pas ki hai mera na 8126144787 ,"""I am Abha Goswami from Khurja, Bulandshahr. I have passed the 10th grade. My number is 8126144787.""",neutral
" he got second marriage with bazgha, she is famous manuscript actress and thay haawi only daughter named laraib and only son named sanwar ","""He got married for the second time to Bazgha. She is a famous television actress, and they have a daughter named Laraib and a son named Sanwar.""",Positive
 sir id offboard ho wo kaisay on ho gi. . ,"Sir, how will the offboarded ID be turned back on?",positive
 chutiya bana diya kitni ache se ,"""You've been made a fool so nicely.""",very negative
 qatil woh aza 1992 main insaani haqooq qatil ka asia award qatil or hilal-i-imtiaz 1992 qatil main ata huye qatil ap bread ford university britannia ky qatil chancellor ky tour per bhi khidmat anjam dy rahe hain ,"The murderer, in 1992, received the Asia Human Rights Award and Hilal-i-Imtiaz. The murderer is also serving as the chancellor of Oxford University in Britain.",Positive
 bahot khoob ,"""Very good.""",very positive
 teri ma ko bheg ,"""Send your mother.""",neutral
 khud ko b lage v huii han ,They also feel proud of themselves.,neutral
 i buy it dikhne me bilkul pic jesi he but fabric bohot kharab or stitching very bad first time me hi silai khul gai or kapra bilkul dhela hogaya medium se large hogae very bad aybeez qatil read more ,"I bought it; it looks exactly like the picture but the fabric is very poor, and the stitching is very bad. The seam opened the first time; the cloth became loose from medium to large. Very bad Aybeez, killer.",very negative
 khuda qatil oar qatil mahobat qatil muje qatil bahut qatil pasand qatil  aya qatil .ahmedabad qatil  minakshi ,"God, murderer, and the murderer's love, I love the murderer very much, murderer, came from Ahmedabad, murderer, Minakshi.",positive
 koe bhi country ka insaan ho but iis qatil song ko bahut pasand karangi because ismay heart touching love story and lyrics hai          ,"""Anyone from any country will like this killer song very much because it has a heart-touching love story and lyrics.""",very positive
 aoa wazeefa tasbeeh dobara bata dy ,"Assalamualaikum, please tell the Tasbeeh wazifa again.",Positive
 fariha drama ki copy he par best he bohot ,"It's a copy of the Fariha drama, but it's the best.",very positive
 billo or dj ab kuch karaingay... aisa lag raha hai... or waisay b jiya... ho gaya hai tujh ko to pyar sajna lakh kar li to inkar sajna... qatil ,"Billo and DJ will do something now... it seems like... and Jiya also... you've fallen in love, if you refuse, you've fallen in love... murderer",Positive
 look wo is talking..ap khud sir se paon tak corrupt ho pahaley apna money trail to do ,"""Look who's talking... you are corrupt from head to toe, first show your money trail.""",Positive
 bakwas tareen trouser hai yahan koe or colors or asal main koe or kapra bi bohat harab hai paisay zaya karnay wale baat hai ,"- These are the worst trousers, there are no other colors here and the fabric is also very poor, it's a waste of money.",very negative
" oh bgherat insaan sharam karo , ramazan hei ... roza v rakh leyaa kar haramkhora   ","Shameless person, have some shame, it's Ramadan... Fast, you wretched.",very negative
 allahapko kamyab kry ,May Allah make you successful.,very positive
 manoor or pasha ki joori achi hai kash yai sach main ban jaye ,"""The bond between Manoor and Pasha is good, I wish it becomes true.""",Positive
 oh bhaiiiii... wo banda na to danda marta hai na thaparh... achi acting kar raha hai...       zara goor karen... ,Oh brother... he neither hits nor slaps... he's acting well... take a good look...,very negative
 imran khan zindabaad ,Long live Imran Khan.,very positive
 aunty specailyapka bohot shukriyaðÿðÿ ,"""Cursing the ignorant fools.""",Positive
 chief justice iftakhar muhammad chaudhry or un ke rofaqa ko awam ny dobara koye insaaf ki pasbani bakhsh dy ,The people once again entrusted Chief Justice Iftikhar Muhammad Chaudhry and his companions with the task of ensuring justice.,Positive
 kabhi kabhi in mahfilon ki bhi zaroorat padti hai doston.. ,"Sometimes, we also need these gatherings, friends.",neutral
 p0pvp likha hai jahil ,"""Written 'p0pvp,' ignorant.""",negative
 allah pak asani frmaye...ap ky sab khasary dunia-o-akhirat dono main pury kry ameen ,"""May Allah make it easy... may He fulfill all your losses in both this world and the hereafter... Amen.""",very positive
 jeeve jeeve pakistan    ,Long live Pakistan.,very positive
 v valuable information mishra ji ,"""Very valuable information, Mishra Ji.""",neutral
 yai song sun kar qatil pata lagta han ky insaan mohabbat kya bghair ni raah sakta ,"Listening to this song, you can tell what love can do to a person.",neutral
 really. yai mkt he yhan bina purpose kuchh nahi hota. ,Really. This market has nothing without a purpose.,neutral
 allah dy tabaha aw barbad ke che cha da zulam kare dy ,"""May Allah destroy the oppressors and the wicked.""",very positive
 laura mera ,That's nonsense.,negative
 dunya ma nahi nai discoveries ho rahe han idhar wahi shadi pa phasa howy han urdu point ek acah digital media han is pa koe information share karo ya kya kar rhy han pakistani dramas ma b yahi scene han phir hum is sa yahi kuch hun sekhy ga aar kya kry ga    ,"New discoveries are happening in the world, while we",negative
 ya aunty chicken hai baji ,"""That auntie is as chicken as she is.""",negative
 tmhein to bari hansi arhi han ,"""You seem to be having a great laugh.""",Negative
 hell true :-/ waday tusi shareef hunh ,"""So true :-/ You're honest in your promises.""",Positive
 aaj tk kuch huwa hai jo ab hoga . ,Has anything happened yet that hasn't happened till now?,Negative
 1st time suna or daikha full song    ,"""First time I've heard and seen the full song.""",neutral
 ise doran shahrukh khan ko ek gahri sadmey se do char hona parha ,"During this time, Shahrukh Khan had to face a deep shock.",Negative
 yh konxy aziyat dy ky mary gay hain......asl wo shahid han jinko tum jxy log aziyat dy ky mar daty ho....i smjjh.... arshad sharef.........k ahl e khana ki bd dua lagy ji tum cb ko... insallah ,"""Hehehehe, how are we defending our points, then we can become lawyers even after doing BBA, haha.""",Positive
 iske video b tum logu pas hne ,Will you also have his videos?,Negative
 rss ki pillee hai ya dalal hai yogi bjp ke cm ka naam nahi lete dalal ....hai bjp ki , Is he a son of RSS or is he a broker  Yogi is not taking the name of BJP's CM...he is a broker of BJP.,positive
 tell me sound or music name ,Tell me the name of the sound or music.,neutral
 ameen insha'allah jazakaallah ,"Amen, Inshallah, Jazakallah.",neutral
 kyaaa feel dali han yar to ny. bohaaat ala ,"What a feeling you've conveyed, buddy. Great!",very positive
 1 ki halalt tashwishnak qatil ,The fear of the legal one.,Negative
" kitni dard li aai hain ,,ham to teri chaukhat se love you saima khan       ","""How much pain you've caused... I'm sacrificing myself at your doorstep, love you Saima Khan.""",neutral
 buhat acha kya tum ny ,You've done very well,very positive
 hamari kahndan main weight barhne ka rujhan hai he nahi. ,There is no trend of gaining weight in our family.,Negative
 mashallah allah pak salamat rakha. ameen. ,"""May Allah keep you safe. Amen.""",very positive
 mashlha mojhe bohot pasand hai         ,"""I really like it.""",positive
 jai shree ram   ,"""Hail Lord Ram.""",neutral
 zomedero ko saza milney chehye . ,"""Zomedero should be punished.""",negative
 abdullah meri jan i love you ,"Abdullah, my dear, I love you.",positive
 mjy b btana ,Tell me too.,positive
 allah hazrat ka saya hum par salamat rakhy ,May Allah keep the shade of His presence upon us.,very positive
 love you fawad ranaa:-) :-) :-) :-) :-) :-) :-) ,Love you Fawad Rana :-),very positive
 bohot khoob qatil munnwar sahab ,"""Very good, murderer Munawwar Sahab.""",very positive
apbhn ky leae dua kardain ,Please pray for my brother.,positive
